RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	UMBC
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.2.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
 848.8  -6.1 -38.0   6 293  10.1      1475 37.837 -75.461         4.62
 848.2  -6.1 -37.2   6 293  10.1      1479 37.837 -75.461         4.64
 847.7  -6.0 -36.1   7 293  10.1      1484 37.837 -75.461         4.65
 847.1  -6.0 -35.0   8 294  10.1      1490 37.837 -75.461         4.67
 846.6  -6.0 -34.0   9 294  10.0      1494 37.837 -75.461         4.69
 846.0  -5.9 -33.2  10 294  10.0      1501 37.837 -75.460         4.70
 845.5  -5.9 -32.3  10 295  10.0      1506 37.837 -75.460         4.72
 844.9  -5.9 -31.1  12 295  10.0      1511 37.837 -75.460         4.74
 844.4  -5.8 -30.0  13 295   9.9      1515 37.837 -75.460         4.75
 843.8  -5.7 -29.5  13 296   9.9      1520 37.837 -75.460         4.77
 843.3  -5.7 -29.7  13 296   9.9      1526 37.837 -75.460         4.79
 842.7  -5.6 -29.9  13 296   9.9      1530 37.837 -75.460         4.80
 842.2  -5.6 -30.1  13 297   9.8      1535 37.837 -75.460         4.82
 841.6  -5.5 -30.2  12 297   9.8      1540 37.836 -75.460         4.84
 841.1  -5.5 -30.2  12 297   9.8      1546 37.836 -75.460         4.85
 840.5  -5.5 -30.2  12 297   9.8      1552 37.836 -75.460         4.87
 840.0  -5.5 -30.1  12 297   9.8      1556 37.836 -75.460         4.89
 839.5  -5.5 -30.1  12 297   9.9      1561 37.836 -75.459         4.90
 839.0  -5.5 -30.2  12 297   9.9      1565 37.836 -75.459         4.92
 838.5  -5.5 -30.3  12 297   9.9      1570 37.836 -75.459         4.94
 838.0  -5.5 -30.3  12 297  10.0      1575 37.836 -75.459         4.95
 837.5  -5.6 -30.2  12 297  10.0      1580 37.836 -75.459         4.97
 837.0  -5.6 -30.1  13 296  10.1      1584 37.836 -75.459         4.99
 836.4  -5.6 -30.1  13 296  10.2      1589 37.836 -75.459         5.00
 835.9  -5.6 -30.1  13 295  10.3      1594 37.836 -75.459         5.02
 835.4  -5.6 -30.1  13 294  10.4      1599 37.836 -75.459         5.04
 834.9  -5.6 -30.0  13 294  10.4      1604 37.836 -75.459         5.05
 834.3  -5.7 -30.1  13 293  10.5      1609 37.836 -75.459         5.07
 833.8  -5.7 -30.2  13 292  10.6      1613 37.836 -75.458         5.09
 833.2  -5.7 -30.4  12 291  10.8      1618 37.836 -75.458         5.10
 832.7  -5.7 -30.6  12 291  10.9      1624 37.836 -75.458         5.12
 832.1  -5.7 -30.9  12 290  11.0      1630 37.836 -75.458         5.14
 831.5  -5.7 -31.1  12 289  11.1      1635 37.836 -75.458         5.15
 830.9  -5.7 -31.4  11 288  11.2      1641 37.836 -75.458         5.17
 830.3  -5.7 -31.6  11 288  11.4      1647 37.835 -75.458         5.19
 829.7  -5.7 -31.6  11 287  11.5      1653 37.835 -75.458         5.20
 829.1  -5.7 -31.4  11 286  11.6      1659 37.835 -75.457         5.22
 828.5  -5.7 -31.2  11 286  11.7      1665 37.835 -75.457         5.24
 828.0  -5.7 -30.8  12 285  11.9      1670 37.835 -75.457         5.25
 827.4  -5.7 -30.5  12 285  12.0      1675 37.835 -75.457         5.27
 826.9  -5.7 -30.2  13 284  12.1      1679 37.835 -75.457         5.29
 826.4  -5.7 -30.2  13 284  12.2      1683 37.835 -75.457         5.30
 825.9  -5.7 -30.3  12 283  12.4      1689 37.835 -75.457         5.32
 825.3  -5.7 -30.4  12 283  12.5      1692 37.835 -75.456         5.34
 824.8  -5.7 -30.4  12 282  12.6      1698 37.835 -75.456         5.35
 824.3  -5.7 -30.4  12 282  12.8      1704 37.835 -75.456         5.37
 823.7  -5.7 -30.4  12 282  12.9      1710 37.835 -75.456         5.39
 823.1  -5.7 -30.5  12 282  13.1      1715 37.835 -75.456         5.40
 822.5  -5.7 -30.7  12 281  13.2      1720 37.835 -75.456         5.42
 822.0  -5.7 -30.8  12 281  13.3      1726 37.835 -75.456         5.44
 821.4  -5.7 -30.6  12 281  13.5      1732 37.835 -75.456         5.45
 820.9  -5.6 -30.3  12 281  13.6      1737 37.835 -75.455         5.47
 820.3  -5.7 -30.2  12 281  13.8      1742 37.835 -75.455         5.49
 819.8  -5.7 -30.2  12 280  13.9      1746 37.835 -75.455         5.50
 819.3  -5.7 -30.2  12 280  14.1      1752 37.835 -75.455         5.52
 818.7  -5.7 -30.2  13 280  14.2      1756 37.835 -75.455         5.54
 818.2  -5.8 -30.3  13 280  14.4      1761 37.835 -75.455         5.55
 817.6  -5.8 -30.3  13 280  14.5      1767 37.835 -75.454         5.57
